MRP,Brand,Processor,RAM,RAM Type,Operating System,Storage Type,Warranty,Storage
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
139990,APPLE,OTHER,8 ,OTHER,MAC,SSD,1 YEAR,512 
109990,ASUS,I7,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
154990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
62990,Lenovo,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
194990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
44990,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
47990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
43667,DELL,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
135990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
36990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,256 
98990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,512 
46990,Infinix,I7,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
35990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
109990,ASUS,I7,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
139990,APPLE,OTHER,8 ,OTHER,MAC,SSD,1 YEAR,512 
74770,DELL,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
40799,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
69490,ASUS,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
99990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,512 
241990,APPLE,OTHER,16 ,OTHER,MAC,SSD,1 YEAR,1 
40990,acer,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
60390,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
69990,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
44990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
85990,ASUS,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,1 
44990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
60390,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
